y,x
0.0,0.0
-0.05537567660212517,0.06337421387434006
-0.18946237862110138,0.32247617840766907
-0.21062172949314117,0.8348901271820068
-0.21546262502670288,1.5826587677001953
-0.3804306983947754,2.590412139892578
-0.768953800201416,3.8278613090515137
-1.3407946825027466,5.249032020568848
-2.0079054832458496,6.832337379455566
-2.574561834335327,8.516112327575684
-2.9639508724212646,10.295787811279297
-3.173264503479004,12.13809585571289
-3.2041919231414795,13.969074249267578
-3.0228078365325928,15.789865493774414
-2.6459059715270996,17.788496017456055
-2.0834743976593018,19.95645523071289
-1.3114718198776245,22.344890594482422
-0.32261520624160767,24.933231353759766
0.8848742246627808,27.688631057739258
2.33366322517395,30.713825225830078
3.87994122505188,33.83629608154297
5.517826080322266,36.98349380493164
7.282349586486816,40.0760498046875
9.053555488586426,43.16334533691406
10.835225105285645,46.03392028808594
12.664514541625977,48.762420654296875
14.32756519317627,51.37477493286133
15.835564613342285,53.93442153930664
17.176353454589844,56.63378143310547
18.30019760131836,59.42982864379883
19.196706771850586,62.36555099487305
19.88915252685547,65.27308654785156
20.445755004882812,68.04833221435547
20.92061424255371,70.72251892089844
21.28636360168457,73.29606628417969
21.461442947387695,75.8159408569336
21.50335121154785,78.24258422851562
21.48088264465332,80.52969360351562
21.378467559814453,82.71356201171875
21.193058013916016,84.74526977539062
20.883869171142578,86.55264282226562
20.463579177856445,88.16365051269531
19.906644821166992,89.60645294189453
19.190685272216797,90.86236572265625
18.29658317565918,91.9381332397461
17.255294799804688,92.88904571533203
16.040281295776367,93.71012115478516
14.646224975585938,94.45228576660156
13.072004318237305,95.1715316772461
11.35892391204834,95.8903579711914
